jsonstat,.,|
label,"Population by province of residence, place of birth, age, gender and year in Galicia"
source,INE and IGE
updated,2012-12-27T12:25:09Z
href,https://json-stat.org/samples/galicia.json
dimension,birth,place of birth,6,T,total,C,county of residence,P,another county in the same province,G,another province of Galicia,A,in another autonomous community,F,abroad,geo
dimension,age,age group,22,T,total,0,0-4,5,5-9,10,10-14,15,15-19,20,20-24,25,25-29,30,30-34,35,35-39,40,40-44,45,45-49,50,50-54,55,55-59,60,60-64,65,65-69,70,70-74,75,75-79,80,80-84,85,85-89,90,90-94,95,95-99,100,100+
dimension,gender,gender,3,T,total,M,male,F,female
dimension,time,year,2,2001,2001,2011,2011,time
dimension,residence,province of residence,5,T,total,15,A Coruña,27,Lugo,32,Ourense,36,Pontevedra,geo
dimension,concept,concept,1,pop,population,metric,0|persons
data
birth,age,gender,time,residence,concept,value
T,75,M,2001,27,pop,9020
T,75,M,2001,32,pop,8348
T,75,M,2001,36,pop,11616
T,75,M,2011,T,pop,61377
T,75,M,2011,15,pop,24187
T,75,M,2011,27,pop,9919
T,75,M,2011,32,pop,9936
T,75,M,2011,36,pop,17335
T,75,F,2001,T,pop,67135
T,75,F,2001,15,pop,25291
T,75,F,2001,27,pop,11823
T,75,F,2001,32,pop,11220
T,75,F,2001,36,pop,18801
T,75,F,2011,T,pop,82850
T,75,F,2011,15,pop,33256
T,75,F,2011,27,pop,12691
T,75,F,2011,32,pop,12495
T,75,F,2011,36,pop,24407
T,80,T,2001,T,pop,76402
T,80,T,2001,15,pop,28335
T,80,T,2001,27,pop,14123
T,80,T,2001,32,pop,13420
T,80,T,2001,36,pop,20524
T,80,T,2011,T,pop,105472
T,80,T,2011,15,pop,40834
T,80,T,2011,27,pop,18116
T,80,T,2011,32,pop,16909
T,80,T,2011,36,pop,29613
T,80,M,2001,T,pop,27330
T,80,M,2001,15,pop,9787
T,80,M,2001,27,pop,5530
T,80,M,2001,32,pop,5185
T,80,M,2001,36,pop,6828
T,80,M,2011,T,pop,41105
T,80,M,2011,15,pop,15677
T,80,M,2011,27,pop,7438
T,80,M,2011,32,pop,6934
T,80,M,2011,36,pop,11056
T,80,F,2001,T,pop,49072
T,80,F,2001,15,pop,18548
T,80,F,2001,27,pop,8593
T,80,F,2001,32,pop,8235
T,80,F,2001,36,pop,13696
T,80,F,2011,T,pop,64367
T,80,F,2011,15,pop,25157
T,80,F,2011,27,pop,10678
T,80,F,2011,32,pop,9975
T,80,F,2011,36,pop,18557
T,85,T,2001,T,pop,43981
T,85,T,2001,15,pop,15865
T,85,T,2001,27,pop,8189
T,85,T,2001,32,pop,8276
T,85,T,2001,36,pop,11651
T,85,T,2011,T,pop,62347
T,85,T,2011,15,pop,22948
T,85,T,2011,27,pop,11542
T,85,T,2011,32,pop,10797
T,85,T,2011,36,pop,17061
T,85,M,2001,T,pop,13750
T,85,M,2001,15,pop,4860
T,85,M,2001,27,pop,2920
T,85,M,2001,32,pop,2733
T,85,M,2001,36,pop,3237
T,85,M,2011,T,pop,21011
T,85,M,2011,15,pop,7465
T,85,M,2011,27,pop,4303
T,85,M,2011,32,pop,3949
T,85,M,2011,36,pop,5294
T,85,F,2001,T,pop,30231
T,85,F,2001,15,pop,11005
T,85,F,2001,27,pop,5269
T,85,F,2001,32,pop,5543
T,85,F,2001,36,pop,8414
